"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Middleware1",,,,"User:","zhiyang"
"Cmdline:","dstat -tcnm --output ../logs/1/dstat_mw1.csv",,,,"Date:","17 Oct 2018 20:39:35 UTC"

"system","total cpu usage",,,,,,"net/total",,"memory usage",,,
17-10 20:40:43,17.228,6.736,72.798,0.0,0.0,3.238,25627428.0,24839247.0,2249830400.0,18374656.0,271151104.0,12166733824.0
17-10 20:40:44,20.307,5.109,71.648,0.0,0.0,2.937,25947326.0,25191838.0,2249498624.0,18374656.0,271151104.0,12167065600.0
17-10 20:40:45,18.218,6.553,71.953,0.0,0.0,3.277,25645212.0,24968580.0,2247368704.0,18374656.0,271151104.0,12169195520.0
17-10 20:40:46,18.252,7.198,71.851,0.0,0.0,2.699,25590756.0,24817195.0,2247368704.0,18374656.0,271151104.0,12169195520.0
17-10 20:40:47,18.194,6.968,71.355,0.0,0.0,3.484,25733323.0,24981477.0,2247831552.0,18374656.0,271151104.0,12168732672.0
17-10 20:40:48,16.472,5.707,74.708,0.0,0.0,3.113,25445728.0,24670541.0,2247766016.0,18374656.0,271151104.0,12168798208.0
17-10 20:40:49,17.442,6.072,74.160,0.0,0.0,2.326,25759376.0,25021057.0,2245603328.0,18374656.0,271151104.0,12170960896.0
17-10 20:40:50,18.629,6.210,72.704,0.0,0.0,2.458,26152209.0,25374526.0,2245505024.0,18374656.0,271151104.0,12171059200.0
17-10 20:40:51,18.205,4.872,72.949,0.0,0.0,3.974,25430301.0,24689354.0,2245537792.0,18374656.0,271151104.0,12171026432.0
17-10 20:40:52,15.085,6.892,74.642,0.0,0.0,3.381,25357434.0,24579415.0,2245545984.0,18374656.0,271151104.0,12171018240.0
17-10 20:40:53,17.340,6.128,73.272,0.0,0.0,3.259,26216878.0,25468344.0,2245382144.0,18374656.0,271151104.0,12171182080.0
17-10 20:40:54,18.485,7.189,70.732,0.0,0.0,3.594,26692492.0,25872638.0,2245316608.0,18374656.0,271151104.0,12171247616.0
17-10 20:40:55,16.861,8.171,71.336,0.0,0.0,3.632,26115236.0,25412573.0,2245349376.0,18374656.0,271151104.0,12171214848.0
17-10 20:40:56,19.221,5.844,72.338,0.0,0.0,2.597,25749670.0,24975574.0,2243678208.0,18374656.0,271151104.0,12172886016.0
17-10 20:40:57,17.523,6.456,72.332,0.0,0.0,3.689,25828659.0,25081800.0,2244050944.0,18374656.0,271151104.0,12172513280.0
17-10 20:40:58,17.246,7.722,71.557,0.0,0.0,3.475,25759499.0,25013718.0,2243657728.0,18374656.0,271151104.0,12172906496.0
17-10 20:40:59,17.539,6.283,72.251,0.0,0.0,3.927,25783477.0,25004695.0,2241536000.0,18374656.0,271151104.0,12175028224.0
17-10 20:41:00,15.714,5.844,74.675,0.0,0.0,3.766,25467061.0,24728056.0,2241896448.0,18374656.0,271151104.0,12174667776.0
17-10 20:41:01,15.959,6.564,73.874,0.0,0.0,3.604,25408503.0,24675805.0,2239635456.0,18374656.0,271151104.0,12176928768.0
17-10 20:41:02,18.018,5.920,72.201,0.0,0.0,3.861,25290186.0,24524133.0,2238767104.0,18374656.0,271151104.0,12177797120.0
17-10 20:41:03,17.542,6.658,73.624,0.128,0.0,2.049,25440043.0,24715092.0,2238824448.0,18382848.0,271151104.0,12177731584.0
17-10 20:41:04,16.996,6.851,72.859,0.0,0.0,3.294,25462995.0,24708730.0,2238955520.0,18382848.0,271151104.0,12177600512.0
17-10 20:41:05,19.035,8.083,69.231,0.0,0.0,3.651,26152514.0,25374095.0,2241015808.0,18382848.0,271151104.0,12175540224.0
17-10 20:41:06,18.438,8.579,69.526,0.0,0.0,3.457,25269072.0,24541769.0,2238853120.0,18382848.0,271151104.0,12177702912.0
17-10 20:41:07,19.110,6.806,70.419,0.0,0.0,3.665,25556565.0,24839211.0,2239655936.0,18382848.0,271151104.0,12176900096.0
17-10 20:41:08,18.538,6.919,71.410,0.0,0.0,3.133,25801435.0,25033075.0,2239754240.0,18382848.0,271151104.0,12176801792.0
17-10 20:41:09,18.981,7.134,69.682,0.0,0.0,4.204,25426518.0,24683515.0,2237788160.0,18382848.0,271151104.0,12178767872.0
17-10 20:41:10,19.133,7.270,70.408,0.0,0.0,3.189,25417792.0,24681889.0,2237427712.0,18382848.0,271151104.0,12179128320.0
17-10 20:41:11,17.454,6.955,71.522,0.0,0.0,4.068,25706537.0,24931595.0,2237263872.0,18382848.0,271151104.0,12179292160.0
17-10 20:41:12,17.268,5.284,73.840,0.0,0.0,3.608,25390163.0,24640075.0,2234822656.0,18382848.0,271151104.0,12181733376.0
17-10 20:41:13,17.290,8.129,71.742,0.0,0.0,2.839,25688559.0,24949010.0,2234888192.0,18382848.0,271151104.0,12181667840.0
17-10 20:41:14,18.218,6.291,71.691,0.0,0.0,3.801,25484728.0,24769858.0,2235052032.0,18382848.0,271151104.0,12181504000.0
17-10 20:41:15,20.260,7.273,68.312,0.0,0.0,4.156,25828304.0,25040811.0,2232885248.0,18382848.0,271155200.0,12183666688.0
17-10 20:41:16,18.146,5.960,72.185,0.0,0.0,3.709,25842224.0,25099256.0,2233016320.0,18382848.0,271155200.0,12183535616.0
17-10 20:41:17,19.634,7.068,69.634,0.0,0.0,3.665,26220571.0,25449076.0,2230747136.0,18382848.0,271155200.0,12185804800.0
17-10 20:41:18,20.260,7.922,68.182,0.0,0.0,3.636,25319392.0,24562330.0,2230943744.0,18382848.0,271155200.0,12185608192.0
17-10 20:41:19,20.102,7.170,69.142,0.0,0.0,3.585,25796020.0,25044558.0,2231042048.0,18382848.0,271155200.0,12185509888.0
17-10 20:41:20,19.260,6.505,70.536,0.0,0.0,3.699,25421859.0,24641758.0,2231205888.0,18382848.0,271155200.0,12185346048.0
17-10 20:41:21,16.005,5.688,75.661,0.0,0.0,2.646,25349512.0,24662506.0,2228649984.0,18382848.0,271155200.0,12187901952.0
17-10 20:41:22,18.240,5.995,71.811,0.0,0.0,3.954,25363016.0,24696890.0,2228752384.0,18382848.0,271155200.0,12187799552.0
17-10 20:41:23,17.286,6.658,72.215,0.0,0.0,3.841,25440424.0,24606700.0,2228649984.0,18382848.0,271159296.0,12187897856.0
17-10 20:41:24,17.228,7.124,71.373,0.0,0.0,4.275,25842845.0,25122215.0,2229141504.0,18382848.0,271159296.0,12187406336.0
17-10 20:41:25,17.912,6.314,72.552,0.0,0.0,3.222,25365150.0,24593750.0,2226585600.0,18382848.0,271159296.0,12189962240.0
17-10 20:41:26,15.570,5.638,75.705,0.0,0.0,3.087,25300212.0,24567091.0,2226618368.0,18382848.0,271159296.0,12189929472.0
17-10 20:41:27,16.863,5.882,73.987,0.0,0.0,3.268,25464263.0,24770182.0,2226388992.0,18382848.0,271159296.0,12190158848.0
17-10 20:41:28,19.023,5.656,72.108,0.0,0.0,3.213,26173541.0,25356251.0,2226487296.0,18382848.0,271159296.0,12190060544.0
17-10 20:41:29,15.553,7.198,73.650,0.0,0.0,3.599,25411879.0,24710392.0,2224586752.0,18382848.0,271159296.0,12191961088.0
17-10 20:41:30,17.578,6.771,72.656,0.0,0.0,2.995,25816877.0,25039771.0,2224652288.0,18382848.0,271159296.0,12191895552.0
17-10 20:41:31,18.088,5.297,73.385,0.0,0.0,3.230,25770088.0,25070810.0,2222358528.0,18382848.0,271159296.0,12194189312.0
17-10 20:41:32,18.147,7.336,71.300,0.0,0.0,3.218,26643692.0,25800814.0,2222170112.0,18382848.0,271159296.0,12194377728.0
17-10 20:41:33,16.837,7.015,72.321,0.0,0.0,3.827,25359504.0,24604890.0,2221875200.0,18382848.0,271159296.0,12194672640.0
17-10 20:41:34,18.264,5.570,73.057,0.130,0.0,2.979,25775895.0,25053566.0,2219933696.0,18391040.0,271159296.0,12196605952.0
17-10 20:41:35,16.623,6.753,73.636,0.0,0.0,2.987,25428290.0,24663401.0,2219933696.0,18391040.0,271159296.0,12196605952.0
17-10 20:41:36,16.796,5.943,74.031,0.0,0.0,3.230,25373069.0,24654126.0,2220097536.0,18391040.0,271159296.0,12196442112.0
17-10 20:41:37,17.632,6.447,72.105,0.0,0.0,3.816,25792380.0,25102197.0,2217680896.0,18391040.0,271159296.0,12198858752.0
17-10 20:41:38,18.394,6.088,72.150,0.0,0.0,3.368,25109231.0,24417976.0,2217517056.0,18391040.0,271159296.0,12199022592.0
17-10 20:41:39,17.895,6.579,72.105,0.0,0.0,3.421,25694189.0,25013399.0,2217451520.0,18391040.0,271159296.0,12199088128.0
17-10 20:41:40,17.358,6.347,73.575,0.0,0.0,2.720,25724697.0,24987573.0,2215419904.0,18391040.0,271159296.0,12201119744.0
17-10 20:41:41,17.707,7.643,71.720,0.0,0.0,2.930,25886640.0,25149932.0,2215518208.0,18391040.0,271159296.0,12201021440.0
17-10 20:41:42,16.451,5.829,74.482,0.0,0.0,3.238,25363926.0,24626128.0,2215231488.0,18391040.0,271159296.0,12201308160.0
17-10 20:41:43,18.462,6.923,71.538,0.0,0.0,3.077,26168143.0,25393884.0,2213232640.0,18391040.0,271159296.0,12203307008.0
17-10 20:41:44,17.526,6.314,73.325,0.0,0.0,2.835,25326554.0,24661396.0,2213101568.0,18391040.0,271159296.0,12203438080.0
17-10 20:41:45,19.330,6.830,70.103,0.0,0.0,3.737,25853093.0,24996256.0,2213167104.0,18391040.0,271159296.0,12203372544.0
17-10 20:41:46,19.434,7.593,69.369,0.0,0.0,3.604,25469087.0,24756317.0,2211135488.0,18391040.0,271159296.0,12205404160.0
17-10 20:41:47,19.455,7.134,69.390,0.0,0.0,4.021,26107893.0,25379349.0,2211315712.0,18391040.0,271159296.0,12205223936.0
17-10 20:41:48,17.801,7.068,71.466,0.0,0.0,3.665,25428718.0,24677312.0,2211348480.0,18391040.0,271159296.0,12205191168.0
17-10 20:41:49,16.864,7.510,72.069,0.0,0.0,3.557,25372358.0,24606768.0,2209378304.0,18391040.0,271163392.0,12207157248.0
17-10 20:41:50,19.613,7.097,69.032,0.0,0.0,4.258,26088660.0,25261643.0,2209411072.0,18391040.0,271163392.0,12207124480.0
17-10 20:41:51,19.437,8.824,68.031,0.0,0.0,3.708,25593350.0,24934972.0,2208952320.0,18391040.0,271163392.0,12207583232.0
17-10 20:41:52,18.265,6.176,71.748,0.0,0.0,3.811,25676727.0,24883956.0,2207358976.0,18391040.0,271163392.0,12209176576.0
17-10 20:41:53,16.184,5.526,74.737,0.0,0.0,3.553,25872060.0,25141677.0,2207211520.0,18391040.0,271163392.0,12209324032.0
17-10 20:41:54,18.170,7.059,71.765,0.0,0.0,3.007,25338315.0,24554614.0,2207440896.0,18391040.0,271163392.0,12209094656.0
17-10 20:41:55,18.289,7.500,71.053,0.0,0.0,3.158,25367431.0,24633059.0,2207277056.0,18391040.0,271163392.0,12209258496.0
17-10 20:41:56,18.003,5.913,72.142,0.0,0.0,3.942,25390611.0,24700634.0,2205212672.0,18391040.0,271163392.0,12211322880.0
17-10 20:41:57,20.672,6.718,68.863,0.0,0.0,3.747,26228005.0,25451864.0,2205081600.0,18391040.0,271163392.0,12211453952.0
17-10 20:41:58,16.816,7.574,72.529,0.0,0.0,3.081,25786661.0,25001979.0,2205048832.0,18391040.0,271163392.0,12211486720.0
17-10 20:41:59,17.487,7.124,72.539,0.0,0.0,2.850,25823305.0,25111475.0,2203078656.0,18391040.0,271163392.0,12213456896.0
17-10 20:42:00,18.124,5.323,74.018,0.0,0.0,2.535,25431763.0,24698453.0,2203308032.0,18391040.0,271163392.0,12213227520.0
17-10 20:42:01,18.312,5.974,73.377,0.0,0.0,2.338,25359147.0,24562078.0,2203373568.0,18391040.0,271163392.0,12213161984.0
17-10 20:42:02,16.088,7.079,72.973,0.0,0.0,3.861,25412881.0,24665370.0,2201055232.0,18391040.0,271163392.0,12215480320.0
17-10 20:42:03,18.078,7.080,71.429,0.0,0.0,3.413,25724301.0,25018101.0,2200952832.0,18391040.0,271163392.0,12215582720.0
17-10 20:42:04,16.559,6.727,73.609,0.259,0.0,2.846,25452025.0,24632934.0,2199109632.0,18399232.0,271163392.0,12217417728.0
17-10 20:42:05,17.188,6.380,73.047,0.0,0.0,3.385,25841175.0,25139772.0,2198913024.0,18399232.0,271163392.0,12217614336.0
17-10 20:42:06,16.969,6.995,73.057,0.0,0.0,2.979,25734880.0,24975645.0,2196914176.0,18399232.0,271163392.0,12219613184.0
17-10 20:42:07,15.666,6.527,74.151,0.0,0.0,3.655,25423803.0,24688864.0,2197331968.0,18399232.0,271163392.0,12219195392.0
17-10 20:42:08,17.386,5.621,73.987,0.0,0.0,3.007,25654876.0,24939104.0,2197069824.0,18399232.0,271163392.0,12219457536.0
17-10 20:42:09,18.217,6.202,72.222,0.0,0.0,3.359,25889880.0,25074316.0,2195398656.0,18399232.0,271163392.0,12221128704.0
17-10 20:42:10,17.798,6.018,72.983,0.0,0.0,3.201,25335706.0,24628256.0,2195234816.0,18399232.0,271163392.0,12221292544.0
17-10 20:42:11,17.755,6.266,72.324,0.0,0.0,3.655,25849150.0,25062249.0,2193137664.0,18399232.0,271163392.0,12223389696.0
17-10 20:42:12,17.121,6.226,73.800,0.0,0.0,2.853,25353580.0,24619292.0,2192662528.0,18399232.0,271163392.0,12223864832.0
17-10 20:42:13,17.188,5.078,73.568,0.0,0.0,4.167,25476679.0,24714171.0,2192695296.0,18399232.0,271163392.0,12223832064.0
17-10 20:42:14,17.259,6.599,73.223,0.0,0.0,2.919,25403468.0,24674127.0,2190565376.0,18399232.0,271163392.0,12225961984.0
17-10 20:42:15,17.010,5.799,73.454,0.0,0.0,3.737,25803530.0,25056821.0,2190467072.0,18399232.0,271163392.0,12226060288.0
17-10 20:42:16,19.330,6.314,71.392,0.0,0.0,2.964,26145811.0,25396773.0,2190499840.0,18399232.0,271163392.0,12226027520.0
17-10 20:42:17,15.959,6.950,73.616,0.0,0.0,3.475,25366695.0,24606784.0,2188197888.0,18399232.0,271167488.0,12228325376.0
17-10 20:42:18,18.635,6.168,73.622,0.0,0.0,1.575,25765294.0,25026207.0,2188099584.0,18399232.0,271167488.0,12228423680.0
17-10 20:42:19,17.143,6.234,73.506,0.0,0.0,3.117,25477926.0,24709507.0,2186493952.0,18399232.0,271167488.0,12230029312.0
17-10 20:42:20,16.996,6.061,72.464,0.0,0.0,4.480,26224622.0,25457510.0,2186723328.0,18399232.0,271167488.0,12229799936.0
17-10 20:42:21,18.146,5.744,72.715,0.0,0.0,3.394,25736815.0,24981387.0,2186493952.0,18399232.0,271167488.0,12230029312.0
17-10 20:42:22,16.258,7.484,73.290,0.0,0.0,2.968,25412272.0,24678042.0,2184368128.0,18399232.0,271167488.0,12232155136.0
17-10 20:42:23,16.901,7.170,72.471,0.0,0.0,3.457,25398151.0,24681065.0,2184232960.0,18399232.0,271171584.0,12232286208.0
17-10 20:42:24,18.655,7.107,72.208,0.0,0.0,2.030,25375308.0,24655085.0,2184462336.0,18399232.0,271171584.0,12232056832.0
17-10 20:42:25,17.945,6.502,71.782,0.0,0.0,3.771,25762421.0,25055926.0,2182266880.0,18399232.0,271171584.0,12234252288.0
17-10 20:42:26,15.769,5.650,74.244,0.0,0.0,4.336,25466259.0,24676029.0,2182103040.0,18399232.0,271171584.0,12234416128.0
17-10 20:42:27,16.688,6.856,73.092,0.0,0.0,3.364,25385546.0,24673288.0,2180620288.0,18399232.0,271171584.0,12235898880.0
17-10 20:42:28,16.863,6.536,73.464,0.0,0.0,3.137,25789645.0,25036425.0,2180775936.0,18399232.0,271171584.0,12235743232.0
17-10 20:42:29,17.419,5.548,73.419,0.0,0.0,3.613,25815356.0,25004993.0,2178678784.0,18399232.0,271171584.0,12237840384.0
17-10 20:42:30,16.150,6.072,74.160,0.0,0.0,3.618,25345889.0,24673875.0,2176516096.0,18399232.0,271171584.0,12240003072.0
17-10 20:42:31,16.925,6.718,72.481,0.0,0.0,3.876,25360588.0,24549368.0,2176679936.0,18399232.0,271171584.0,12239839232.0
17-10 20:42:32,17.871,7.359,71.485,0.0,0.0,3.285,25409462.0,24760454.0,2174652416.0,18399232.0,271171584.0,12241866752.0
17-10 20:42:33,18.799,7.833,70.104,0.0,0.0,3.264,26275252.0,25496455.0,2174128128.0,18399232.0,271171584.0,12242391040.0
17-10 20:42:34,19.792,7.422,68.750,0.0,0.0,4.036,25753864.0,24986651.0,2173931520.0,18399232.0,271171584.0,12242587648.0
17-10 20:42:35,17.594,7.374,70.763,0.129,0.0,4.140,25401732.0,24642342.0,2174054400.0,18407424.0,271171584.0,12242456576.0
17-10 20:42:36,17.548,7.226,72.0,0.0,0.0,3.226,25745725.0,25018559.0,2172186624.0,18407424.0,271171584.0,12244324352.0
17-10 20:42:37,18.742,7.445,71.245,0.0,0.0,2.567,25429829.0,24666076.0,2171838464.0,18407424.0,271171584.0,12244672512.0
17-10 20:42:38,18.766,7.874,69.948,0.0,0.0,3.412,25802537.0,25005087.0,2169790464.0,18407424.0,271171584.0,12246720512.0
17-10 20:42:39,20.026,8.216,67.394,0.0,0.0,4.365,26579582.0,25837702.0,2169724928.0,18407424.0,271171584.0,12246786048.0
17-10 20:42:40,18.638,7.198,69.923,0.0,0.0,4.242,25427531.0,24683420.0,2170118144.0,18407424.0,271171584.0,12246392832.0
17-10 20:42:41,16.732,6.485,73.541,0.0,0.0,3.243,25608265.0,24892643.0,2167726080.0,18407424.0,271171584.0,12248784896.0
17-10 20:42:42,18.653,7.772,70.725,0.0,0.0,2.850,25932363.0,25108449.0,2167353344.0,18407424.0,271171584.0,12249157632.0
17-10 20:42:43,20.230,6.786,70.038,0.0,0.0,2.945,25393013.0,24708440.0,2165260288.0,18407424.0,271171584.0,12251250688.0
