"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","Client1",,,,"User:","zhiyang"
"Cmdline:","dstat -tcnm --output ../logs/1/dstat_client1.csv",,,,"Date:","17 Oct 2018 23:20:40 UTC"

"system","total cpu usage",,,,,,"net/total",,"memory usage",,,
17-10 23:20:56,9.375,18.750,64.062,0.0,0.0,7.812,30016666.0,1038668.0,287662080.0,14888960.0,194711552.0,3111804928.0
17-10 23:20:57,10.606,18.182,61.111,0.0,0.0,10.101,30595155.0,1064204.0,287629312.0,14888960.0,194711552.0,3111837696.0
17-10 23:20:58,10.870,17.935,63.043,0.0,0.0,8.152,30880757.0,1066042.0,288182272.0,14888960.0,194711552.0,3111284736.0
17-10 23:20:59,10.215,19.892,62.366,0.0,0.0,7.527,31455184.0,1090715.0,288362496.0,14888960.0,194711552.0,3111104512.0
17-10 23:21:00,12.0,18.500,62.0,1.0,0.0,6.500,31059525.0,1083581.0,288321536.0,14897152.0,194703360.0,3111145472.0
17-10 23:21:01,10.101,15.657,64.646,0.0,0.0,9.596,30309656.0,1049862.0,288231424.0,14897152.0,194711552.0,3111227392.0
17-10 23:21:02,10.256,18.974,61.026,0.0,0.0,9.744,30872287.0,1068188.0,288321536.0,14897152.0,194711552.0,3111137280.0
17-10 23:21:03,11.979,17.708,59.896,0.0,0.0,10.417,30475577.0,1060581.0,287973376.0,14897152.0,194711552.0,3111485440.0
17-10 23:21:04,11.795,18.974,60.0,0.0,0.0,9.231,30023396.0,1040387.0,288288768.0,14897152.0,194711552.0,3111170048.0
17-10 23:21:05,11.055,21.106,58.291,0.0,0.0,9.548,31560137.0,1089590.0,288288768.0,14897152.0,194711552.0,3111170048.0
17-10 23:21:06,11.168,17.766,64.467,0.0,0.0,6.599,30009180.0,1045053.0,288215040.0,14897152.0,194711552.0,3111243776.0
17-10 23:21:07,8.466,16.402,67.725,0.0,0.0,7.407,30126283.0,1044145.0,288337920.0,14897152.0,194711552.0,3111120896.0
17-10 23:21:08,11.640,14.815,65.079,0.0,0.0,8.466,31367821.0,1083995.0,288411648.0,14897152.0,194711552.0,3111047168.0
17-10 23:21:09,8.901,17.801,62.827,0.0,0.0,10.471,30636906.0,1066462.0,287961088.0,14897152.0,194715648.0,3111493632.0
17-10 23:21:10,11.795,17.436,61.538,0.0,0.0,9.231,31403028.0,1089611.0,287879168.0,14897152.0,194715648.0,3111575552.0
17-10 23:21:11,8.333,17.708,65.625,0.0,0.0,8.333,31065468.0,1073552.0,288002048.0,14897152.0,194715648.0,3111452672.0
17-10 23:21:12,11.458,19.792,59.375,0.0,0.0,9.375,30238837.0,1053218.0,287899648.0,14897152.0,194719744.0,3111550976.0
17-10 23:21:13,12.887,15.979,62.371,0.0,0.0,8.763,31428956.0,1087528.0,287997952.0,14897152.0,194719744.0,3111452672.0
17-10 23:21:14,9.474,16.316,65.263,0.0,0.0,8.947,29837681.0,1034557.0,288112640.0,14897152.0,194719744.0,3111337984.0
17-10 23:21:15,13.065,17.588,61.307,0.0,0.0,8.040,30927081.0,1073924.0,288120832.0,14897152.0,194719744.0,3111329792.0
17-10 23:21:16,10.383,20.219,63.934,0.0,0.0,5.464,32454929.0,1126006.0,288071680.0,14897152.0,194719744.0,3111378944.0
17-10 23:21:17,13.265,14.796,64.286,0.0,0.0,7.653,30544760.0,1057068.0,288153600.0,14897152.0,194719744.0,3111297024.0
17-10 23:21:18,9.948,20.419,61.257,0.0,0.0,8.377,30387471.0,1057492.0,288227328.0,14897152.0,194719744.0,3111223296.0
17-10 23:21:19,10.769,18.974,62.564,0.0,0.0,7.692,30347221.0,1051086.0,288104448.0,14897152.0,194719744.0,3111346176.0
17-10 23:21:20,13.265,19.388,59.184,0.0,0.0,8.163,30892235.0,1074977.0,288096256.0,14897152.0,194719744.0,3111354368.0
17-10 23:21:21,8.197,16.940,65.574,0.0,0.0,9.290,29791740.0,1035042.0,288301056.0,14897152.0,194719744.0,3111149568.0
17-10 23:21:22,13.333,15.897,62.564,0.0,0.0,8.205,30795673.0,1067678.0,288276480.0,14897152.0,194719744.0,3111174144.0
17-10 23:21:23,10.309,22.680,60.825,0.0,0.0,6.186,30913902.0,1069208.0,288260096.0,14897152.0,194719744.0,3111190528.0
17-10 23:21:24,9.948,20.419,61.780,0.0,0.0,7.853,30676871.0,1065474.0,288296960.0,14897152.0,194719744.0,3111153664.0
17-10 23:21:25,11.579,14.737,65.263,0.0,0.0,8.421,30336104.0,1052844.0,288321536.0,14897152.0,194719744.0,3111129088.0
17-10 23:21:26,9.645,20.305,62.944,0.0,0.0,7.107,31030861.0,1074510.0,288436224.0,14897152.0,194719744.0,3111014400.0
17-10 23:21:27,10.152,19.289,63.452,0.0,0.0,7.107,30036847.0,1040610.0,288321536.0,14897152.0,194719744.0,3111129088.0
17-10 23:21:28,9.845,18.653,61.140,0.0,0.0,10.363,31473843.0,1090693.0,288354304.0,14897152.0,194719744.0,3111096320.0
17-10 23:21:29,9.137,18.782,62.944,0.0,0.0,9.137,29997771.0,1040357.0,288268288.0,14897152.0,194719744.0,3111182336.0
17-10 23:21:30,10.638,14.894,65.426,1.064,0.0,7.979,30645735.0,1062969.0,288079872.0,14905344.0,194711552.0,3111370752.0
17-10 23:21:31,9.424,16.754,63.874,0.0,0.0,9.948,30442243.0,1058621.0,288096256.0,14905344.0,194719744.0,3111346176.0
17-10 23:21:32,11.282,17.949,63.077,0.0,0.0,7.692,30183679.0,1043936.0,288227328.0,14905344.0,194719744.0,3111215104.0
17-10 23:21:33,9.626,16.578,65.241,0.0,0.0,8.556,31260294.0,1083954.0,288157696.0,14905344.0,194723840.0,3111280640.0
17-10 23:21:34,9.948,19.372,59.686,0.0,0.0,10.995,30766838.0,1070696.0,288436224.0,14905344.0,194723840.0,3111002112.0
17-10 23:21:35,12.565,18.325,62.304,0.0,0.0,6.806,30863504.0,1068884.0,288370688.0,14905344.0,194723840.0,3111067648.0
17-10 23:21:36,8.108,16.757,68.108,0.0,0.0,7.027,30572181.0,1058786.0,288391168.0,14905344.0,194727936.0,3111043072.0
17-10 23:21:37,11.640,18.519,60.847,0.0,0.0,8.995,30861101.0,1072850.0,288342016.0,14905344.0,194727936.0,3111092224.0
17-10 23:21:38,11.224,17.347,60.714,0.0,0.0,10.714,31714779.0,1098693.0,288497664.0,14905344.0,194727936.0,3110936576.0
17-10 23:21:39,11.856,15.464,61.856,0.0,0.0,10.825,30789984.0,1064947.0,288296960.0,14905344.0,194727936.0,3111137280.0
17-10 23:21:40,10.053,19.577,62.434,0.0,0.0,7.937,30888076.0,1075413.0,288247808.0,14905344.0,194727936.0,3111186432.0
17-10 23:21:41,9.836,14.208,68.306,0.0,0.0,7.650,29286861.0,1014702.0,288280576.0,14905344.0,194727936.0,3111153664.0
17-10 23:21:42,12.308,20.0,60.513,0.0,0.0,7.179,31778187.0,1100247.0,288280576.0,14905344.0,194727936.0,3111153664.0
17-10 23:21:43,10.0,17.895,62.105,0.0,0.0,10.0,30624086.0,1063988.0,288272384.0,14905344.0,194727936.0,3111161856.0
17-10 23:21:44,10.938,14.583,65.625,0.0,0.0,8.854,30404832.0,1050930.0,288419840.0,14905344.0,194727936.0,3111014400.0
17-10 23:21:45,11.340,20.103,60.825,0.0,0.0,7.732,30417816.0,1056671.0,288305152.0,14905344.0,194727936.0,3111129088.0
17-10 23:21:46,9.744,19.487,61.026,0.0,0.0,9.744,31030932.0,1078737.0,288243712.0,14905344.0,194732032.0,3111186432.0
17-10 23:21:47,8.629,18.274,64.975,0.0,0.0,8.122,30751078.0,1064252.0,288268288.0,14905344.0,194732032.0,3111161856.0
17-10 23:21:48,9.231,18.462,62.564,0.0,0.0,9.744,30543322.0,1059144.0,288374784.0,14905344.0,194732032.0,3111055360.0
17-10 23:21:49,12.887,17.526,61.856,0.0,0.0,7.732,30703541.0,1067426.0,288514048.0,14905344.0,194732032.0,3110916096.0
17-10 23:21:50,11.111,17.989,65.608,0.0,0.0,5.291,30915560.0,1071058.0,288555008.0,14905344.0,194732032.0,3110875136.0
17-10 23:21:51,8.163,18.367,63.265,0.0,0.0,10.204,30631268.0,1060794.0,288628736.0,14905344.0,194732032.0,3110801408.0
17-10 23:21:52,13.500,19.500,61.0,0.0,0.0,6.0,31043414.0,1080101.0,288473088.0,14905344.0,194732032.0,3110957056.0
17-10 23:21:53,8.108,21.081,65.405,0.0,0.0,5.405,31002191.0,1073049.0,288522240.0,14905344.0,194732032.0,3110907904.0
17-10 23:21:54,12.435,16.580,63.731,0.0,0.0,7.254,30163754.0,1044391.0,288751616.0,14905344.0,194732032.0,3110678528.0
17-10 23:21:55,10.050,16.080,64.824,0.0,0.0,9.045,28865412.0,1003962.0,288808960.0,14905344.0,194732032.0,3110621184.0
17-10 23:21:56,9.278,22.680,60.825,0.0,0.0,7.216,31701616.0,1097412.0,288784384.0,14905344.0,194732032.0,3110645760.0
17-10 23:21:57,9.626,18.182,64.171,0.0,0.0,8.021,31547163.0,1093875.0,288776192.0,14905344.0,194732032.0,3110653952.0
17-10 23:21:58,10.309,18.041,64.433,0.0,0.0,7.216,31064120.0,1080472.0,288751616.0,14905344.0,194732032.0,3110678528.0
17-10 23:21:59,10.881,17.617,63.731,0.0,0.0,7.772,30791153.0,1066365.0,288976896.0,14905344.0,194732032.0,3110453248.0
17-10 23:22:00,9.137,15.736,63.959,0.508,0.0,10.660,30286592.0,1047878.0,289009664.0,14913536.0,194723840.0,3110420480.0
17-10 23:22:01,9.794,18.557,62.887,0.0,0.0,8.763,30703527.0,1068874.0,288993280.0,14913536.0,194732032.0,3110428672.0
17-10 23:22:02,10.881,17.617,62.176,0.0,0.0,9.326,31850307.0,1103098.0,289050624.0,14913536.0,194732032.0,3110371328.0
17-10 23:22:03,11.053,20.0,62.105,0.0,0.0,6.842,31469504.0,1089967.0,288862208.0,14913536.0,194732032.0,3110559744.0
17-10 23:22:04,10.825,20.619,59.278,0.0,0.0,9.278,30814184.0,1070171.0,288935936.0,14913536.0,194732032.0,3110486016.0
17-10 23:22:05,9.524,17.989,64.550,0.0,0.0,7.937,30871899.0,1069248.0,288890880.0,14913536.0,194736128.0,3110526976.0
17-10 23:22:06,8.854,14.583,67.708,0.0,0.0,8.854,30290405.0,1051010.0,288825344.0,14913536.0,194736128.0,3110592512.0
17-10 23:22:07,13.402,19.072,60.825,0.0,0.0,6.701,31058482.0,1079482.0,288817152.0,14913536.0,194736128.0,3110600704.0
17-10 23:22:08,9.137,17.259,63.959,0.0,0.0,9.645,30772532.0,1066295.0,288923648.0,14913536.0,194736128.0,3110494208.0
17-10 23:22:09,9.845,18.135,65.285,0.0,0.0,6.736,30958931.0,1072257.0,288698368.0,14913536.0,194736128.0,3110719488.0
17-10 23:22:10,11.224,18.878,61.224,0.0,0.0,8.673,30833414.0,1070073.0,288714752.0,14913536.0,194736128.0,3110703104.0
17-10 23:22:11,7.732,20.103,63.402,0.0,0.0,8.763,30423568.0,1055775.0,288862208.0,14913536.0,194736128.0,3110555648.0
17-10 23:22:12,9.231,18.974,64.103,0.0,0.0,7.692,30189985.0,1044747.0,288796672.0,14913536.0,194736128.0,3110621184.0
17-10 23:22:13,10.0,17.368,66.842,0.0,0.0,5.789,29731046.0,1034550.0,288862208.0,14913536.0,194736128.0,3110555648.0
17-10 23:22:14,7.895,20.526,63.684,0.0,0.0,7.895,30748334.0,1063579.0,288997376.0,14913536.0,194736128.0,3110420480.0
17-10 23:22:15,10.526,17.368,65.263,0.0,0.0,6.842,30970347.0,1073672.0,288858112.0,14913536.0,194736128.0,3110559744.0
17-10 23:22:16,11.458,15.104,65.625,0.0,0.0,7.812,29841912.0,1036770.0,288940032.0,14913536.0,194736128.0,3110477824.0
17-10 23:22:17,9.360,20.197,61.084,0.0,0.0,9.360,31082809.0,1078359.0,288882688.0,14913536.0,194736128.0,3110535168.0
17-10 23:22:18,9.548,18.593,63.819,0.0,0.0,8.040,30306703.0,1049262.0,288899072.0,14913536.0,194736128.0,3110518784.0
17-10 23:22:19,11.168,18.782,59.391,0.0,0.0,10.660,31970112.0,1109579.0,288804864.0,14913536.0,194736128.0,3110612992.0
17-10 23:22:20,11.640,20.106,59.788,0.0,0.0,8.466,31420283.0,1094884.0,289034240.0,14913536.0,194736128.0,3110383616.0
17-10 23:22:21,11.111,18.687,60.606,0.0,0.0,9.596,32212519.0,1116478.0,289046528.0,14913536.0,194740224.0,3110367232.0
17-10 23:22:22,10.881,20.207,60.622,0.0,0.0,8.290,30807328.0,1071916.0,288989184.0,14913536.0,194740224.0,3110424576.0
17-10 23:22:23,10.769,20.513,60.513,0.0,0.0,8.205,30792974.0,1066051.0,289013760.0,14913536.0,194740224.0,3110400000.0
17-10 23:22:24,9.278,18.557,62.887,0.0,0.0,9.278,30232769.0,1047435.0,288915456.0,14913536.0,194740224.0,3110498304.0
17-10 23:22:25,10.417,20.312,61.979,0.0,0.0,7.292,31905180.0,1108394.0,289079296.0,14913536.0,194740224.0,3110334464.0
17-10 23:22:26,8.511,15.957,67.021,0.0,0.0,8.511,30993474.0,1072025.0,289079296.0,14913536.0,194740224.0,3110334464.0
17-10 23:22:27,9.744,16.923,61.538,0.0,0.0,11.795,30547673.0,1059327.0,289087488.0,14913536.0,194740224.0,3110326272.0
17-10 23:22:28,11.111,16.931,64.021,0.0,0.0,7.937,31111083.0,1075212.0,289083392.0,14913536.0,194744320.0,3110326272.0
17-10 23:22:29,12.632,17.368,62.632,0.0,0.0,7.368,30631990.0,1068240.0,288976896.0,14913536.0,194744320.0,3110432768.0
17-10 23:22:30,9.453,21.393,60.697,0.498,0.0,7.960,32010503.0,1108853.0,288985088.0,14921728.0,194736128.0,3110424576.0
17-10 23:22:31,8.854,15.104,66.667,0.0,0.0,9.375,30894721.0,1069434.0,288976896.0,14921728.0,194744320.0,3110424576.0
17-10 23:22:32,9.574,15.957,64.894,0.0,0.0,9.574,31283516.0,1087175.0,289005568.0,14921728.0,194748416.0,3110391808.0
17-10 23:22:33,9.744,18.462,64.103,0.0,0.0,7.692,31147863.0,1079831.0,288972800.0,14921728.0,194748416.0,3110424576.0
17-10 23:22:34,10.0,17.895,66.842,0.0,0.0,5.263,29757014.0,1029764.0,288759808.0,14921728.0,194748416.0,3110637568.0
17-10 23:22:35,10.363,16.580,63.731,0.0,0.0,9.326,30138005.0,1049668.0,288669696.0,14921728.0,194748416.0,3110727680.0
17-10 23:22:36,10.938,13.021,67.188,0.0,0.0,8.854,30072961.0,1041003.0,288653312.0,14921728.0,194748416.0,3110744064.0
17-10 23:22:37,9.744,16.410,64.615,0.0,0.0,9.231,30813036.0,1067167.0,288759808.0,14921728.0,194748416.0,3110637568.0
17-10 23:22:38,9.626,17.112,66.310,0.0,0.0,6.952,30738606.0,1069092.0,288694272.0,14921728.0,194748416.0,3110703104.0
17-10 23:22:39,11.111,17.172,64.141,0.0,0.0,7.576,30342885.0,1051588.0,288727040.0,14921728.0,194748416.0,3110670336.0
17-10 23:22:40,7.735,15.470,69.061,0.0,0.0,7.735,30931480.0,1070497.0,288817152.0,14921728.0,194748416.0,3110580224.0
17-10 23:22:41,10.204,16.327,65.306,0.0,0.0,8.163,30246154.0,1050151.0,288776192.0,14921728.0,194748416.0,3110621184.0
17-10 23:22:42,8.901,17.801,65.969,0.0,0.0,7.330,31199774.0,1082422.0,288677888.0,14921728.0,194748416.0,3110719488.0
17-10 23:22:43,6.806,17.277,69.110,0.0,0.0,6.806,30716457.0,1064032.0,288759808.0,14921728.0,194748416.0,3110637568.0
17-10 23:22:44,10.309,15.979,63.402,0.0,0.0,10.309,30521780.0,1061992.0,288751616.0,14921728.0,194748416.0,3110645760.0
17-10 23:22:45,10.471,16.754,67.539,0.0,0.0,5.236,30722155.0,1063566.0,288751616.0,14921728.0,194748416.0,3110645760.0
17-10 23:22:46,7.254,17.617,64.249,0.0,0.0,10.881,30662915.0,1062579.0,288612352.0,14921728.0,194748416.0,3110785024.0
17-10 23:22:47,9.744,17.436,66.154,0.0,0.0,6.667,30218860.0,1050781.0,288677888.0,14921728.0,194748416.0,3110719488.0
17-10 23:22:48,8.673,19.388,63.265,0.0,0.0,8.673,31117368.0,1076905.0,288808960.0,14921728.0,194748416.0,3110588416.0
17-10 23:22:49,10.938,19.271,63.021,0.0,0.0,6.771,32007483.0,1107963.0,288772096.0,14921728.0,194748416.0,3110625280.0
17-10 23:22:50,10.256,17.436,63.077,0.0,0.0,9.231,30901066.0,1073341.0,288845824.0,14921728.0,194748416.0,3110551552.0
17-10 23:22:51,11.616,17.172,64.141,0.0,0.0,7.071,31294970.0,1085088.0,288854016.0,14921728.0,194748416.0,3110543360.0
17-10 23:22:52,7.330,15.707,69.110,0.0,0.0,7.853,29620111.0,1026332.0,288878592.0,14921728.0,194748416.0,3110518784.0
17-10 23:22:53,10.938,18.229,63.542,0.0,0.0,7.292,30742521.0,1069793.0,288854016.0,14921728.0,194748416.0,3110543360.0
17-10 23:22:54,11.795,18.462,64.615,0.0,0.0,5.128,29827838.0,1032919.0,289267712.0,14921728.0,194748416.0,3110129664.0
17-10 23:22:55,8.466,17.460,66.138,0.0,0.0,7.937,31071269.0,1071034.0,289320960.0,14921728.0,194752512.0,3110072320.0
17-10 23:22:56,10.526,17.895,61.579,0.0,0.0,10.0,31485192.0,1095782.0,289353728.0,14921728.0,194752512.0,3110039552.0
17-10 23:22:57,7.292,18.229,65.104,0.0,0.0,9.375,31528350.0,1095456.0,289173504.0,14921728.0,194752512.0,3110219776.0
17-10 23:22:58,11.111,16.162,63.636,0.0,0.0,9.091,30863193.0,1069156.0,289296384.0,14921728.0,194752512.0,3110096896.0
17-10 23:22:59,12.953,16.580,62.176,0.0,0.0,8.290,32192354.0,1119347.0,289476608.0,14921728.0,194752512.0,3109916672.0
17-10 23:23:00,10.053,14.815,67.196,0.529,0.0,7.407,30970434.0,1072956.0,289439744.0,14929920.0,194748416.0,3109949440.0
17-10 23:23:01,6.842,17.895,66.842,0.526,0.0,7.895,30221615.0,1046642.0,289562624.0,14929920.0,194756608.0,3109818368.0
17-10 23:23:02,10.811,15.676,64.324,0.0,0.0,9.189,32537034.0,1131114.0,289423360.0,14929920.0,194756608.0,3109957632.0
17-10 23:23:03,8.808,17.098,66.321,0.0,0.0,7.772,31714785.0,1096080.0,289546240.0,14929920.0,194756608.0,3109834752.0
17-10 23:23:04,7.487,19.251,66.845,0.0,0.0,6.417,30085932.0,1044362.0,289431552.0,14929920.0,194756608.0,3109949440.0
17-10 23:23:05,12.371,17.010,62.887,0.0,0.0,7.732,31002108.0,1078108.0,289497088.0,14929920.0,194756608.0,3109883904.0
17-10 23:23:06,10.606,16.162,65.152,0.0,0.0,8.081,29960269.0,1036220.0,289398784.0,14929920.0,194756608.0,3109982208.0
17-10 23:23:07,9.137,19.797,63.959,0.0,0.0,7.107,29993655.0,1040397.0,289562624.0,14929920.0,194756608.0,3109818368.0
17-10 23:23:08,9.694,19.388,62.245,0.0,0.0,8.673,30466907.0,1059370.0,289562624.0,14929920.0,194756608.0,3109818368.0
17-10 23:23:09,9.896,17.708,65.625,0.0,0.0,6.771,29671810.0,1027707.0,289243136.0,14929920.0,194756608.0,3110137856.0
17-10 23:23:10,7.143,20.408,62.755,0.0,0.0,9.694,30808560.0,1064850.0,289202176.0,14929920.0,194756608.0,3110178816.0
17-10 23:23:11,9.184,19.388,61.735,0.0,0.0,9.694,30791496.0,1072211.0,289226752.0,14929920.0,194756608.0,3110154240.0
17-10 23:23:12,8.511,16.489,68.085,0.0,0.0,6.915,31210007.0,1081635.0,289210368.0,14929920.0,194756608.0,3110170624.0
17-10 23:23:13,9.645,16.751,64.975,0.0,0.0,8.629,30178350.0,1044854.0,289234944.0,14929920.0,194756608.0,3110146048.0
17-10 23:23:14,8.205,23.077,61.538,0.0,0.0,7.179,31302169.0,1088578.0,289144832.0,14929920.0,194756608.0,3110236160.0
17-10 23:23:15,7.527,15.591,68.817,0.0,0.0,8.065,31468068.0,1089825.0,289275904.0,14929920.0,194756608.0,3110105088.0
17-10 23:23:16,10.363,15.544,65.285,0.0,0.0,8.808,31127532.0,1077522.0,289218560.0,14929920.0,194756608.0,3110162432.0
17-10 23:23:17,11.856,17.526,63.402,0.0,0.0,7.216,31551844.0,1095939.0,289275904.0,14929920.0,194756608.0,3110105088.0
17-10 23:23:18,8.247,20.619,63.402,0.0,0.0,7.732,31267454.0,1084359.0,289185792.0,14929920.0,194756608.0,3110195200.0
17-10 23:23:19,12.626,20.707,60.101,0.0,0.0,6.566,31492494.0,1089532.0,289509376.0,14929920.0,194756608.0,3109871616.0
17-10 23:23:20,13.846,17.949,59.487,0.0,0.0,8.718,31162028.0,1089907.0,289193984.0,14929920.0,194756608.0,3110187008.0
17-10 23:23:21,9.091,19.697,64.141,0.0,0.0,7.071,30595220.0,1059029.0,289275904.0,14929920.0,194756608.0,3110105088.0
17-10 23:23:22,6.667,17.436,65.128,0.0,0.0,10.769,31048329.0,1074914.0,289271808.0,14929920.0,194760704.0,3110105088.0
17-10 23:23:23,9.783,21.196,61.413,0.0,0.0,7.609,32542888.0,1132566.0,289198080.0,14929920.0,194760704.0,3110178816.0
17-10 23:23:24,11.168,19.797,60.406,0.0,0.0,8.629,31317979.0,1082578.0,289456128.0,14938112.0,194752512.0,3109920768.0
17-10 23:23:25,9.896,19.271,63.021,0.0,0.0,7.812,31835963.0,1103480.0,289357824.0,14938112.0,194760704.0,3110010880.0
17-10 23:23:26,11.282,16.923,61.538,0.0,0.0,10.256,30981585.0,1071696.0,289603584.0,14938112.0,194760704.0,3109765120.0
17-10 23:23:27,11.170,15.957,64.362,0.0,0.0,8.511,31338284.0,1091220.0,289341440.0,14938112.0,194760704.0,3110027264.0
17-10 23:23:28,7.292,18.229,65.104,0.0,0.0,9.375,30814580.0,1067817.0,289320960.0,14938112.0,194764800.0,3110043648.0
17-10 23:23:29,12.060,18.593,61.307,0.0,0.0,8.040,30247226.0,1045028.0,289353728.0,14938112.0,194764800.0,3110010880.0
17-10 23:23:30,9.043,18.085,64.362,0.0,0.0,8.511,30588518.0,1066165.0,289349632.0,14942208.0,194764800.0,3110010880.0
17-10 23:23:31,9.845,16.062,62.694,4.145,0.0,7.254,30703289.0,1063361.0,289234944.0,14946304.0,194768896.0,3110117376.0
17-10 23:23:32,8.763,16.495,67.526,0.0,0.0,7.216,30455379.0,1054494.0,289308672.0,14946304.0,194768896.0,3110043648.0
17-10 23:23:33,11.616,17.677,61.616,0.0,0.0,9.091,31486893.0,1095105.0,289300480.0,14946304.0,194768896.0,3110051840.0
17-10 23:23:34,11.702,18.617,61.702,0.0,0.0,7.979,31116023.0,1077773.0,289665024.0,14946304.0,194768896.0,3109687296.0
17-10 23:23:35,9.645,19.289,64.975,0.0,0.0,6.091,30895093.0,1070025.0,289746944.0,14946304.0,194768896.0,3109605376.0
17-10 23:23:36,9.694,20.408,62.755,0.0,0.0,7.143,30140803.0,1048331.0,289681408.0,14946304.0,194768896.0,3109670912.0
17-10 23:23:37,11.224,18.878,63.265,0.0,0.0,6.633,30723740.0,1062988.0,289697792.0,14946304.0,194768896.0,3109654528.0
17-10 23:23:38,8.122,17.766,64.467,0.0,0.0,9.645,30266334.0,1048812.0,289648640.0,14946304.0,194768896.0,3109703680.0
17-10 23:23:39,10.695,17.112,62.567,0.0,0.0,9.626,30825199.0,1072251.0,289427456.0,14946304.0,194768896.0,3109924864.0
17-10 23:23:40,6.154,17.949,66.154,0.0,0.0,9.744,29808990.0,1031973.0,289509376.0,14946304.0,194768896.0,3109842944.0
17-10 23:23:41,10.881,13.990,68.394,0.0,0.0,6.736,30394820.0,1052479.0,289460224.0,14946304.0,194768896.0,3109892096.0
17-10 23:23:42,11.282,16.410,63.077,0.0,0.0,9.231,29743983.0,1035964.0,289476608.0,14946304.0,194768896.0,3109875712.0
17-10 23:23:43,7.772,19.689,65.803,0.0,0.0,6.736,30482762.0,1054806.0,289533952.0,14946304.0,194768896.0,3109818368.0
17-10 23:23:44,7.772,18.653,64.249,0.0,0.0,9.326,30935808.0,1072316.0,289419264.0,14946304.0,194768896.0,3109933056.0
17-10 23:23:45,9.645,20.305,62.944,0.0,0.0,7.107,30726602.0,1068540.0,289402880.0,14946304.0,194768896.0,3109949440.0
17-10 23:23:46,12.183,16.751,62.944,0.0,0.0,8.122,32081094.0,1110096.0,289386496.0,14946304.0,194768896.0,3109965824.0
17-10 23:23:47,8.901,18.325,64.398,0.0,0.0,8.377,32524130.0,1127208.0,289468416.0,14946304.0,194768896.0,3109883904.0
17-10 23:23:48,9.896,18.229,65.104,0.0,0.0,6.771,31775347.0,1103685.0,289427456.0,14946304.0,194768896.0,3109924864.0
17-10 23:23:49,8.290,17.098,65.803,0.0,0.0,8.808,30895122.0,1070889.0,289681408.0,14946304.0,194768896.0,3109670912.0
17-10 23:23:50,9.091,18.182,62.626,0.0,0.0,10.101,31095912.0,1077518.0,289656832.0,14946304.0,194768896.0,3109695488.0
